datetime,temp,precip,Number of Bicycle Hires
30/07/2010,17.9,0.0,6897
31/07/2010,20.1,1.995,5564
01/08/2010,18.7,0.0,4303
02/08/2010,18.9,0.299,6642
03/08/2010,18.0,0.0,7966
04/08/2010,16.9,0.536,7893
05/08/2010,17.0,0.996,8724
06/08/2010,16.9,0.0,9797
07/08/2010,18.2,6.269,6631
08/08/2010,18.8,0.001,7864
09/08/2010,19.3,0.0,6191
10/08/2010,17.2,7.614,4802
11/08/2010,17.1,1.998,14013
12/08/2010,16.3,0.009,13080
13/08/2010,14.6,8.165,12151
14/08/2010,15.5,1.058,9195
15/08/2010,17.9,0.001,10928
16/08/2010,17.9,0.0,15384
17/08/2010,17.4,0.501,15396
18/08/2010,17.1,0.003,16062
19/08/2010,17.1,0.001,17170
20/08/2010,19.1,0.001,16462
21/08/2010,20.6,0.299,11719
22/08/2010,19.8,0.997,10129
23/08/2010,18.4,24.414,12935
24/08/2010,15.9,0.797,17006
25/08/2010,14.6,7.11,10062
26/08/2010,17.7,13.909,9875
27/08/2010,14.8,4.0,12854
28/08/2010,15.2,0.0,10116
29/08/2010,15.0,1.5,7811
30/08/2010,14.6,0.0,10534
31/08/2010,15.1,0.001,17508
01/09/2010,15.4,0.0,19332
02/09/2010,15.9,0.0,20909
03/09/2010,16.6,0.0,20113
04/09/2010,16.1,0.001,14373
05/09/2010,17.1,0.0,12924
06/09/2010,16.3,0.5,16841
07/09/2010,16.4,10.712,25361
08/09/2010,15.9,2.98,18727
09/09/2010,16.6,1.993,20774
10/09/2010,17.4,0.001,19532
11/09/2010,18.2,0.004,13383
12/09/2010,16.1,0.001,14002
13/09/2010,15.0,0.002,18037
14/09/2010,17.0,0.006,17026
15/09/2010,13.9,6.077,20890
16/09/2010,14.3,0.001,20433
17/09/2010,12.2,0.002,20488
18/09/2010,12.1,0.0,15495
19/09/2010,14.6,0.0,11492
20/09/2010,17.3,0.001,20169
21/09/2010,16.0,0.001,22906
22/09/2010,16.9,0.0,23905
23/09/2010,15.6,8.873,17729
24/09/2010,12.5,1.02,18053
25/09/2010,10.4,0.0,14010
26/09/2010,11.1,1.298,7890
27/09/2010,13.6,0.519,18789
28/09/2010,15.0,0.501,21554
29/09/2010,14.9,4.408,13899
30/09/2010,12.4,7.891,21823
01/10/2010,14.6,7.148,11424
02/10/2010,13.3,3.497,10704
03/10/2010,15.4,28.337,8237
04/10/2010,14.5,2.789,23688
05/10/2010,15.3,0.004,22054
06/10/2010,14.8,9.888,20114
07/10/2010,13.6,0.0,24072
08/10/2010,17.0,0.001,22886
09/10/2010,16.1,0.0,14463
10/10/2010,16.1,0.0,14871
11/10/2010,14.4,0.0,21986
12/10/2010,12.6,0.0,23016
13/10/2010,11.3,0.0,22251
14/10/2010,10.8,0.0,21582
15/10/2010,11.4,0.003,20934
16/10/2010,10.1,1.603,12735
17/10/2010,8.9,0.0,12764
18/10/2010,9.8,0.001,20464
19/10/2010,10.0,7.093,17964
20/10/2010,6.0,0.001,20750
21/10/2010,6.3,0.299,21161
22/10/2010,8.8,0.001,20164
23/10/2010,10.6,8.899,11584
24/10/2010,7.4,0.003,11259
25/10/2010,6.4,0.001,18430
26/10/2010,8.6,4.409,13950
27/10/2010,14.0,0.502,19559
28/10/2010,13.2,0.002,19995
29/10/2010,13.2,0.299,19119
30/10/2010,11.8,1.02,13493
31/10/2010,11.6,1.32,8739
01/11/2010,10.6,0.0,19785
02/11/2010,13.4,0.501,21754
03/11/2010,15.2,0.0,27964
04/11/2010,16.3,0.0,22424
05/11/2010,15.3,2.985,15815
06/11/2010,9.5,4.103,11877
07/11/2010,6.9,0.002,9331
08/11/2010,6.5,4.121,11328
09/11/2010,7.9,2.015,16026
10/11/2010,5.2,0.0,19767
11/11/2010,9.5,7.88,12901
12/11/2010,10.9,4.088,14534
13/11/2010,9.4,0.513,12123
14/11/2010,7.5,3.501,6235
15/11/2010,4.2,0.0,18086
16/11/2010,4.8,0.3,18764
17/11/2010,6.7,0.005,17005
18/11/2010,7.8,3.009,15974
19/11/2010,7.6,0.001,18545
20/11/2010,7.2,0.002,10806
21/11/2010,7.0,0.0,8356
22/11/2010,7.0,0.0,17258
23/11/2010,6.5,0.001,17427
24/11/2010,3.4,0.298,18628
25/11/2010,2.3,0.001,16822
26/11/2010,0.9,0.0,16092
27/11/2010,0.3,0.0,7867
28/11/2010,-0.6,0.001,6866
29/11/2010,1.1,0.0,16681
30/11/2010,1.1,4.275,9263
01/12/2010,0.2,0.004,9848
